H2	The Café of a Single Color: Lemon
B	The first thing this yellow corner has to say to anyone dreaming of a room of their own is that one complete thing beats two half-finished ones. Lemon won with a single color in a market full of businesses carrying a hundred concepts. And it drove that one thing into every corner. The door handle, the napkins, the pen at the till — the stubbornness of keeping the whole lineage of the yellow intact is what turned a color into a world. A wall painted at half conviction reads as a mistake; a color taken all the way becomes a name.
B	The arithmetic of the materials is worth studying as well. Paint is the cheapest renovation material on earth. What this house proves is not the power of money but the power of nerve. An old corner unit and a few tins is all the magic requires. It is only the first brushstroke that is hard. She says she hesitated for six months before opening. What if it just looks childish? At the end of that hesitation, what she held on to was the memory of the market stall. You have a memory like that too. It is worth trusting the color of it.
H3	Why yellow loosens something in us
B	Go further in and you reach the long history of this particular color. Yellow is the color the human race has been glad to see for longer than any other. It is the color of sunlight, of ripe grain, of honey, of firelight. Everything that kept us alive happened to be yellow, so what loosens in us in front of it is not taste but inheritance. And then the adult city erased the color almost entirely. The roads are grey, the buildings are beige, the wardrobe is neutral. Yellow survives on nursery bags and the paint around a school crossing — it has quietly become a children's color. That is why adults disarm in this room. This house gives back a color that was confiscated from them.
H3	A primary color will not blend
B	Lemon's history has been written in the colors of a lane. This one yellow woke up twenty colors in the paint lane, and the people who come to look at those colors circle back to the yellow corner. In a low season, people in this city tell each other to go and see the yellow place. A prescription that requires no doctor has become a local turn of phrase. Couples who got engaged here live under yellow umbrellas afterward, and students who warmed up here write their exams in yellow pen.
B	A great brand is like a primary color. It earns its name as the price of refusing to blend with the fashion, and the duller the times, the further off it can be seen. And a shop that people have begun calling by a color will eventually inherit that color's name as its own. In this city, yellow is no longer the name of a color. It is the name of a café.
H3	When did we lose our favorite color?
B	Here is a question worth asking in a yellow hall. When was the last time anyone asked you what your favorite color was? As children we carried the answer around at all times. The favorite crayon wore down first, and the bag and the shoes had to be that color or there was no point. Then somewhere in becoming an adult we were quietly released from the question. The wardrobe filled up with sensible colors, the taste folded itself down toward the inoffensive, and a favorite color stopped having anywhere to go on a form. What we lost was not the color. It was the ease of saying out loud what we liked.
B	A full life might be one that knows a color of its own. Something you can say you love without checking the room first, one prescription that gets you up on a grey day. The customers of Lemon sit in the yellow and think of theirs. It does not have to be yellow. The house is only asking one thing, and the question is what your color is.
H3	Noon in your pocket
B	Push the door and the street is grey again, under the same sky it was under before. But there is an afterimage of yellow somewhere behind your eyes, and the grey street looks more bearable than it did on the way in. In some season when the sky has been overcast for weeks, remember this: on a corner of this city there is a room where it is noon regardless of the weather. And the going rate for that sunlight is a cup of coffee.
